date,RV,DRV
2020-04-08,0.000389071017554387,-0.0017772145047537196
2020-04-09,0.0006024176875757475,0.0002133466700213605
2020-04-10,0.0,-0.0006024176875757475
2020-04-13,0.00037086332552167003,0.00037086332552167003
2020-04-14,0.0005944915738563402,0.00022362824833467018
2020-04-15,0.0007281898383036087,0.00013369826444726847
2020-04-16,0.00019418735909199503,-0.0005340024792116136
2020-04-17,0.0006809424671274121,0.00048675510803541705
2020-04-20,0.0005732256304324618,-0.0001077168366949503
2020-04-21,0.0007587074004570971,0.00018548177002463534
2020-04-22,0.00041334546754664666,-0.00034536193291045047
2020-04-23,0.0002654119293779164,-0.00014793353816873028
2020-04-24,0.00012792804710859074,-0.00013748388226932564
2020-04-27,7.90947827714008e-05,-4.883326433718994e-05
2020-04-28,0.0003302840062959656,0.0002511892235245648
2020-04-29,0.00035111939339745946,2.0835387101493844e-05
2020-04-30,0.0003039177393925032,-4.720165400495628e-05
2020-05-01,0.0003122238917832479,8.306152390744742e-06
2020-05-04,0.00026128298915545687,-5.094090262779106e-05
2020-05-05,0.00022605589307916267,-3.52270960762942e-05
2020-05-06,0.000126622424775155,-9.943346830400767e-05
2020-05-07,0.00020359215568243406,7.696973090727906e-05
2020-05-08,0.0001885182994155746,-1.507385626685947e-05
2020-05-11,0.0001420857299111486,-4.643256950442599e-05
2020-05-12,0.00012285737920754056,-1.922835070360804e-05
2020-05-13,0.00031572388486777965,0.00019286650566023908
2020-05-14,0.0003941433477367594,7.841946286897973e-05
2020-05-15,0.0002985665549572757,-9.557679277948366e-05
2020-05-18,0.0008784876540651692,0.0005799210991078935
2020-05-19,0.00020268182980809853,-0.0006758058242570706
2020-05-20,0.00023908624576419888,3.6404415956100346e-05
2020-05-21,0.0001100251696407425,-0.00012906107612345636
2020-05-22,5.685866421653201e-05,-5.3166505424210485e-05
2020-05-25,0.0,-5.685866421653201e-05
2020-05-26,0.0005693320394216336,0.0005693320394216336
2020-05-27,0.00027943099955532604,-0.00028990103986630754
2020-05-28,0.0001262434966329557,-0.00015318750292237033
2020-05-29,0.00025459981541877893,0.00012835631878582322
2020-06-01,5.346186188406803e-05,-0.0002011379535347109
2020-06-02,7.804277095110842e-05,2.4580909067040393e-05
2020-06-03,0.00013150428344876422,5.34615124976558e-05
2020-06-04,8.985915935638327e-05,-4.1645124092380955e-05
2020-06-05,0.0008339866974430868,0.0007441275380867035
2020-06-08,0.00011744383896158478,-0.000716542858481502
2020-06-09,0.00020022274621942236,8.277890725783758e-05
2020-06-10,0.00021360359655260244,1.3380850333180073e-05
2020-06-11,0.0011626459103296562,0.0009490423137770538
2020-06-12,0.001305280948270899,0.0001426350379412427
2020-06-15,0.0011743950870759924,-0.00013088586119490648
2020-06-16,0.0010348025157198928,-0.0001395925713560996
2020-06-17,0.00010940411995082594,-0.0009253983957690668
2020-06-18,0.0001740916041811247,6.468748423029876e-05
2020-06-19,0.0003200801364733343,0.0001459885322922096
2020-06-22,0.00011547485354372616,-0.00020460528292960814
2020-06-23,0.00013244595490597823,1.697110136225207e-05
2020-06-24,0.00035843645354827723,0.000225990498642299
2020-06-25,0.00023072595056968716,-0.00012771050297859007
2020-06-26,0.00021903184985700124,-1.1694100712685912e-05
2020-06-29,0.00013201739467662467,-8.701445518037658e-05
2020-06-30,0.00011795354318180107,-1.4063851494823602e-05
2020-07-01,0.00016434107659047445,4.638753340867338e-05
2020-07-02,0.00035302515229626845,0.000188684075705794
2020-07-03,0.0,-0.00035302515229626845
2020-07-06,0.00022293724616350197,0.00022293724616350197
2020-07-07,9.364752879609851e-05,-0.00012928971736740348
2020-07-08,7.718211729885587e-05,-1.6465411497242638e-05
2020-07-09,0.00015293461782385658,7.575250052500071e-05
2020-07-10,0.00011337743855080026,-3.955717927305632e-05
2020-07-13,0.00019628102007465816,8.29035815238579e-05
2020-07-14,0.0001545054121723676,-4.177560790229057e-05
2020-07-15,0.00030201995566539144,0.00014751454349302384
2020-07-16,9.708350162005034e-05,-0.0002049364540453411
2020-07-17,2.6193629943220022e-05,-7.088987167683032e-05
2020-07-20,3.584801187740974e-05,9.654381934189719e-06
2020-07-21,0.00010470251871142551,6.885450683401577e-05
2020-07-22,3.4129338953078385e-05,-7.057317975834713e-05
2020-07-23,6.998593651983147e-05,3.585659756675308e-05
2020-07-24,7.800344519960269e-05,8.017508679771226e-06
2020-07-27,2.691953207502574e-05,-5.1083913124576953e-05
2020-07-28,4.2614800996649754e-05,1.5695268921624015e-05
2020-07-29,3.1561231226563956e-05,-1.1053569770085798e-05
2020-07-30,0.0002173510927223554,0.00018578986149579143
2020-07-31,7.939009373842955e-05,-0.00013796099898392584
2020-08-03,4.842328185163997e-05,-3.096681188678958e-05
2020-08-04,2.6562886200921668e-05,-2.18603956507183e-05
2020-08-05,7.237256881898976e-05,4.580968261806809e-05
2020-08-06,3.2913909103719694e-05,-3.9458659715270064e-05
2020-08-07,6.199754306177809e-05,2.9083633958058398e-05
2020-08-10,6.602889127290506e-05,4.031348211126968e-06
2020-08-11,0.00022582002405633993,0.00015979113278343486
2020-08-12,0.00011121777770727841,-0.00011460224634906152
