,0
s_mean_lag1,0.004532139754920152
Q_bid_sum_rm5,0.004231771159980092
Q_bid_mean_rm5,0.00423177115998009
B_std_rm10,0.004191930035231312
s_rel_mean_lag1,0.004181773277374289
m_std_lag3,0.004181226674880523
s_std_lag1,0.00409510955162908
s_mean_rstd10,0.003735521655337302
B_mean_rstd10,0.003576772094760828
Q_ask_mean,0.003503086687224627
Q_ask_sum,0.0035030866872246265
s_mean_rm3,0.0030420224208064428
Q_bid_sum_rstd10,0.002651731312478477
Q_bid_mean_rstd10,0.0026517313124782217
Q_ask_sum_rstd5,0.002569053159540333
Q_ask_mean_rstd5,0.0025690531595396276
OFI_mean_rstd5,0.0025543416096837474
OFI_sum_rstd5,0.002554341609683736
s_rel_std,0.002415210452139935
m_std_rm10,0.0023938186110162725
